世代,個体No,実値,適応度, 係数0, 係数1
597,60,-18.537,-185.371,-1.27,5.66
598,51,-7.283,-72.829,1.77,4.59
599,20,-10.769,-107.686,-2.22,2.65
600,79,-1.552,-15.518,0.60,0.82
601,25,-4.499,-44.988,1.24,4.11
602,31,-7.131,-71.310,2.22,4.37
603,4,-5.710,-57.099,1.14,-0.39
604,73,-12.047,-120.466,0.61,5.45
605,77,-0.475,-4.746,0.90,2.68
606,10,-10.446,-104.459,3.97,0.72
607,78,-3.235,-32.348,2.13,0.60
608,15,-4.879,-48.794,2.21,3.85
609,94,-0.205,-2.051,1.37,2.27
610,40,-7.145,-71.446,3.61,1.42
611,2,-0.610,-6.098,1.51,2.59
612,68,-21.037,-210.369,2.15,-2.44
613,8,-9.720,-97.204,-1.89,3.17
614,10,-0.606,-6.060,0.98,1.22
615,56,-1.873,-18.732,-0.33,1.69
616,39,-17.692,-176.917,3.62,5.29
